zip,city,state,type
00501,Holtsville,NY,UNIQUE
00544,Holtsville,NY,UNIQUE
00601,Adjuntas,PR,STANDARD
00602,Aguada,PR,STANDARD
00603,Aguadilla,PR,STANDARD
00604,Aguadilla,PR,PO BOX
00605,Aguadilla,PR,PO BOX
00606,Maricao,PR,STANDARD
00610,Anasco,PR,STANDARD
00611,Angeles,PR,PO BOX
00612,Arecibo,PR,STANDARD
00613,Arecibo,PR,PO BOX
00614,Arecibo,PR,PO BOX
00616,Bajadero,PR,STANDARD
00617,Barceloneta,PR,STANDARD
00622,Boqueron,PR,STANDARD
00623,Cabo Rojo,PR,STANDARD
00624,Penuelas,PR,STANDARD
00627,Camuy,PR,STANDARD
00631,Castaner,PR,PO BOX
00636,Rosario,PR,PO BOX
00637,Sabana Grande,PR,STANDARD
00638,Ciales,PR,STANDARD
00641,Utuado,PR,STANDARD
00646,Dorado,PR,STANDARD
00647,Ensenada,PR,STANDARD
00650,Florida,PR,STANDARD
00652,Garrochales,PR,STANDARD
00653,Guanica,PR,STANDARD
00656,Guayanilla,PR,STANDARD
00659,Hatillo,PR,STANDARD
00660,Hormigueros,PR,STANDARD
00662,Isabela,PR,STANDARD
00664,Jayuya,PR,STANDARD
00667,Lajas,PR,STANDARD
00669,Lares,PR,STANDARD
00670,Las Marias,PR,STANDARD
00674,Manati,PR,STANDARD
00676,Moca,PR,STANDARD
00677,Rincon,PR,STANDARD
00678,Quebradillas,PR,STANDARD
00680,Mayaguez,PR,STANDARD
00681,Mayaguez,PR,PO BOX
00682,Mayaguez,PR,STANDARD
00683,San German,PR,STANDARD
00685,San Sebastian,PR,STANDARD
00687,Morovis,PR,STANDARD
00688,Sabana Hoyos,PR,STANDARD
00690,San Antonio,PR,STANDARD
00692,Vega Alta,PR,STANDARD
00693,Vega Baja,PR,STANDARD
00694,Vega Baja,PR,PO BOX
00698,Yauco,PR,STANDARD
00703,Aguas Buenas,PR,STANDARD
00704,Aguirre,PR,STANDARD
00705,Aibonito,PR,STANDARD
00707,Maunabo,PR,STANDARD
00714,Arroyo,PR,STANDARD
00715,Mercedita,PR,STANDARD
00716,Ponce,PR,STANDARD
00717,Ponce,PR,STANDARD
