id,active,taggable,campaign_only,numeric,immutable,is_date,display_order,category_id,name,input_type,trait_id
2,true,true,false,false,false,false,1,1,"Female","SingleSelect",1
3,true,true,false,false,false,false,2,1 ,"Male","SingleSelect",1
7,true,true,false,false,false,false,1,5 ,"$0 - $14,999","SingleSelect",6
8,true,true,false,false,false,false,2,5 ,"$15,000 - $29,999","SingleSelect",6
9,true,true,false,false,false,false,3,5 ,"$30,000 - $44,999","SingleSelect",6
10,true,true,false,false,false,false,4 ,5 ,"$45,000 - $59,999","SingleSelect",6
11,true,true,false,false,false,false,5 ,5 ,"$60,000 - $79,999","SingleSelect",6
12,true,true,false,false,false,false,6 ,5 ,"$80,000 - $99,999","SingleSelect",6
13,true,true,false,false,false,false,7 ,5 ,"$100,000 - $149,999","SingleSelect",6
15,true,true,false,false,false,false,2 ,1 ,"Black or African American","MultiSelect",14
16,true,true,false,false,false,false,3 ,1 ,"East Asian - Chinese","MultiSelect",14
17,true,true,false,false,false,false,4 ,1 ,"East Asian - Japanese","MultiSelect",14
18,true,true,false,false,false,false,5 ,1 ,"East Asian - Korean","MultiSelect",14
19,true,true,false,false,false,false,6 ,1 ,"East Asian - Other","MultiSelect",14
20,true,true,false,false,false,false,7 ,1 ,"East Asian - Vietnamese","MultiSelect",14
22,true,true,false,false,false,false,1 ,10,"Christian","SingleSelect",21
23,true,true,false,false,false,false,2 ,10,"Muslim","SingleSelect",21
24,true,true,false,false,false,false,3 ,10,"Hindu","SingleSelect",21
25,true,true,false,false,false,false,4 ,10,"Chineese Universist","SingleSelect",21
26,true,true,false,false,false,false,5 ,10,"Buddhists","SingleSelect",21
27,true,true,false,false,false,false,6 ,10,"Sikh","SingleSelect",21
28,true,true,false,false,false,false,7 ,10,"Jewish ","SingleSelect",21
29,true,true,false,false,false,false,8 ,10,"Spiritist","SingleSelect",21
30,true,true,false,false,false,false,9 ,10,"Confuscianist","SingleSelect",21
31,true,true,false,false,false,false,10,10,"Shintoist","SingleSelect",21
32,true,true,false,false,false,false,11,10,"Taoist","SingleSelect",21
33,true,true,false,false,false,false,12,10,"Zoroastrian","SingleSelect",21
34,true,true,false,false,false,false,13,10,"Other","SingleSelect",21
35,true,true,false,false,false,false,14,10,"Non-religious","SingleSelect",21
36,true,true,false,false,false,false,15,10,"Atheist","SingleSelect",21
38,true,true,false,false,false,false,4 ,4 ,"Full-time College Student","SingleSelect",37
39,true,true,false,false,false,false,1 ,4 ,"Non-Student","SingleSelect",37
41,true,true,false,false,false,false,1 ,4 ,"Employed, Full-time","SingleSelect",40
42,true,true,false,false,false,false,2 ,4 ,"Employed, Part-time","SingleSelect",40
44,true,true,false,false,false,false,7 ,4 ,"Not Currently Employed","SingleSelect",40
46,true,true,false,false,false,false,1 ,4 ,"Less Than High School","SingleSelect",45
47,true,true,false,false,false,false,3 ,4 ,"High School Graduate","SingleSelect",45
48,true,true,false,false,false,false,3 ,4 ,"Some College","SingleSelect",45
49,true,true,false,false,false,false,4 ,4 ,"2-Year College Degree ( Associates)","SingleSelect",45
50,true,true,false,false,false,false,5 ,4 ,"4-Year College Degree (BA, BS)","SingleSelect",45
51,true,true,false,false,false,false,6 ,4 ,"Masters Degree ","SingleSelect",45
52,true,true,false,false,false,false,7 ,4 ,"Doctoral/Pro Degree (Ph. D, MD, JD)","SingleSelect",45
55,true,true,false,false,false,false,1 ,15,"Single - Never Married","SingleSelect",54
56,true,true,false,false,false,false,2 ,15,"Engaged","SingleSelect",54
57,true,true,false,false,false,false,3 ,15,"Married","SingleSelect",54
58,true,true,false,false,false,false,5 ,15,"Divorced","SingleSelect",54
59,true,true,false,false,false,false,6 ,15,"Widow(er)","SingleSelect",54
61,true,true,false,false,false,false,1 ,2 ,"0","SingleSelect",60
62,true,true,false,false,false,false,2 ,2 ,"1","SingleSelect",60
63,true,true,false,false,false,false,3 ,2 ,"2","SingleSelect",60
64,true,true,false,false,false,false,4 ,2 ,"3","SingleSelect",60
65,true,true,false,false,false,false,5 ,2 ,"4 or more","SingleSelect",60
67,true,true,false,false,false,false,1 ,1 ,"English","SingleSelect",66
68,true,true,false,false,false,false,2 ,1 ,"Español","SingleSelect",66
69,true,true,false,false,false,false,3 ,1 ,"Français","SingleSelect",66
70,true,true,false,false,false,false,4 ,1 ,"Deutsch","SingleSelect",66
71,true,true,false,false,false,false,5 ,1 ,"Russkiy Yazyk","SingleSelect",66
72,true,true,false,false,false,false,6 ,1 ,"Mandarin","SingleSelect",66
73,true,true,false,false,false,false,7 ,1 ,"Nihongo","SingleSelect",66
74,true,true,false,false,false,false,8 ,1 ,"Hindi","SingleSelect",66
76,true,true,false,false,false,false,1 ,1 ,"English","SingleSelect",75
77,true,true,false,false,false,false,2 ,1 ,"Español","SingleSelect",75
78,true,true,false,false,false,false,3 ,1 ,"Français","SingleSelect",75
79,true,true,false,false,false,false,4 ,1 ,"Deutsch","SingleSelect",75
80,true,true,false,false,false,false,5 ,1 ,"Russkiy Yazyk","SingleSelect",75
81,true,true,false,false,false,false,6 ,1 ,"Mandarin","SingleSelect",75
82,true,true,false,false,false,false,7 ,1 ,"Nihongo","SingleSelect",75
83,true,true,false,false,false,false,8 ,1 ,"Hindi","SingleSelect",75
84,true,true,false,false,false,false,8 ,5 ,"$150,000 - $199,000","SingleSelect",6
85,true,true,false,false,false,false,16,10,"Prefer not to say","SingleSelect",21
86,true,true,false,false,false,false,6 ,4 ,"Prefer not to say","SingleSelect",37
87,true,true,false,false,false,false,5 ,4 ,"Prefer not to say","SingleSelect",40
88,true,true,false,false,false,false,9 ,4 ,"Prefer not to say","SingleSelect",45
89,true,true,false,false,false,false,7 ,15,"Prefer not to say","SingleSelect",54
90,true,true,false,false,false,false,7 ,2 ,"Prefer not to say","SingleSelect",60
91,true,true,false,false,false,false,9 ,1 ,"Prefer not to say","SingleSelect",66
92,true,true,false,false,false,false,9 ,1 ,"Prefer not to say","SingleSelect",75
95,true,true,false,false,false,false,1 ,9 ,"Never","SingleSelect",94
96,true,true,false,false,false,false,2 ,9 ,"Rarely","SingleSelect",94
97,true,true,false,false,false,false,3 ,9 ,"1-3 time per week","SingleSelect",94
98,true,true,false,false,false,false,4 ,9 ,"4-6 times per week","SingleSelect",94
99,true,true,false,false,false,false,5 ,9 ,"7-9 times per week","SingleSelect",94
100,true,true,false,false,false,false,6  ,9 ,"10 or more times per week","SingleSelect",94
101,true,true,false,false,false,false,7  ,9 ,"Prefer not to say","SingleSelect",94
129,true,true,false,false,false,false,1  ,9 ,"American","MultiSelect",128
130,true,true,false,false,false,false,2  ,9 ,"Italian","MultiSelect",128
131,true,true,false,false,false,false,3  ,9 ,"Mexican","MultiSelect",128
132,true,true,false,false,false,false,4  ,9 ,"Japanese","MultiSelect",128
133,true,true,false,false,false,false,5  ,9 ,"Chinese","MultiSelect",128
134,true,true,false,false,false,false,6  ,9 ,"Thai","MultiSelect",128
135,true,true,false,false,false,false,6  ,9 ,"Vietnamese","MultiSelect",128
136,true,true,false,false,false,false,8  ,9 ,"French","MultiSelect",128
137,true,true,false,false,false,false,9  ,9 ,"Prefer not to say","MultiSelect",128
139,true,true,false,false,false,false,1  ,9 ,"Breakfast","SingleSelect",138
140,true,true,false,false,false,false,2  ,9 ,"Lunch","SingleSelect",138
141,true,true,false,false,false,false,3  ,9 ,"Dinner","SingleSelect",138
142,true,true,false,false,false,false,4  ,9 ,"Prefer not to say","SingleSelect",138
153,true,true,false,false,false,false,6  ,2 ,"Expecting a child this year","SingleSelect",60
155,true,true,false,false,false,false,1  ,6 ,"3+ times per week","SingleSelect",   154
158,true,true,false,false,false,false,2  ,6 ,"1-2 times per week","SingleSelect",   154
159,true,true,false,false,false,false,3  ,6 ,"Excercise sometimes","SingleSelect",   154
160,true,true,false,false,false,false,4  ,6 ,"Rarely exercise","SingleSelect",   154
162,true,true,false,false,false,false,1  ,8 ,"Dog","MultiSelect",161
163,true,true,false,false,false,false,2  ,8 ,"Cat","MultiSelect",161
165,true,true,false,false,false,false,1  ,18,"Own","SingleSelect",   164
166,true,true,false,false,false,false,2  ,18,"Rent","SingleSelect",   164
167,true,true,false,false,false,false,3  ,18,"Live on campus","SingleSelect",   164
169,true,true,false,false,false,false,1  ,3 ,"Concerts","MultiSelect",168
170,true,true,false,false,false,false,2  ,3 ,"Sporting Events","MultiSelect",168
171,true,true,false,false,false,false,3  ,3 ,"Theatre","MultiSelect",168
172,true,true,false,false,false,false,4  ,3 ,"Festivals and Fairs","MultiSelect",168
195,true,true,false,false,false,false,3  ,8 ,"Fish","MultiSelect",161
196,true,true,false,false,false,false,4  ,8 ,"Bird","SingleSelect",   161
197,true,true,false,false,false,false,11 ,8 ,"Other- Exotic","MultiSelect",161
198,true,true,false,false,false,false,12 ,8 ,"No Pets","MultiSelect",161
204,true,true,false,false,false,false,4  ,15,"Separated","SingleSelect",   54
205,true,true,false,false,false,false,1  ,1 ,"American Indian or Alaska Native","MultiSelect",14
206,true,true,false,false,false,false,8  ,1 ,"Hispanic - Cuban","MultiSelect",14
207,true,true,false,false,false,false,9  ,1 ,"Hispanic - Mexican, Mexican-American, Chicano  ","MultiSelect",14
208,true,true,false,false,false,false,10 ,1 ,"Hispanic - Caribbean","MultiSelect",14
209,true,true,false,false,false,false,11 ,1 ,"Hispanic - Other Central/South American","MultiSelect",14
210,true,true,false,false,false,false,12 ,1 ,"Hispanic -Puerto Rican","MultiSelect",14
211,true,true,false,false,false,false,13 ,1 ,"Middle Eastern","MultiSelect",14
212,true,true,false,false,false,false,14 ,1 ,"Native Hawaiian","MultiSelect",14
213,true,true,false,false,false,false,15 ,1 ,"Other Pacific Islander","MultiSelect",14
214,true,true,false,false,false,false,16 ,1 ,"South Asian - Indian","MultiSelect",14
215,true,true,false,false,false,false,16 ,1 ,"South Asian -Other","MultiSelect",14
216,true,true,false,false,false,false,17 ,1 ,"White, Caucasian","MultiSelect",14
217,true,true,false,false,false,false,18 ,1 ,"Other - not listed  here","MultiSelect",14
218,true,true,false,false,false,false,9  ,5 ,"$200,000 - $249,999","SingleSelect",   6
219,true,true,false,false,false,false,10 ,5 ,"$250,000 - $499,999","SingleSelect",   6
220,true,true,false,false,false,false,12 ,5 ,"$500,000 +","SingleSelect",   6
221,true,true,false,false,false,false,13 ,5 ,"Prefer not to say","SingleSelect",   6
223,true,true,false,false,false,false,1  ,5 ,"$0 - $14,999","SingleSelect",   222
224,true,true,false,false,false,false,2  ,5 ,"$15,000 - $29,999","SingleSelect",   222
225,true,true,false,false,false,false,3  ,5 ,"$30,000 - $44,999","SingleSelect",   222
226,true,true,false,false,false,false,4  ,5 ,"$45,000 - $59,999","SingleSelect",   222
227,true,true,false,false,false,false,5  ,5 ,"$60,000 - $79,999","SingleSelect",   222
228,true,true,false,false,false,false,6  ,5 ,"$80,000 - $99,999","SingleSelect",   222
229,true,true,false,false,false,false,7  ,5 ,"$100,000 - $149,999","SingleSelect",   222
230,true,true,false,false,false,false,8  ,5 ,"$150,000 - $199,999","SingleSelect",   222
231,true,true,false,false,false,false,9  ,5 ,"$200,000 - $249,999","SingleSelect",   222
232,true,true,false,false,false,false,10 ,5 ,"$250,000 - $499,999","SingleSelect",   222
233,true,true,false,false,false,false,11 ,5 ,"$500,000+","SingleSelect",   222
234,true,true,false,false,false,false,12 ,5 ,"Rather not say","SingleSelect",   222
240,false,true,false,false,false,false,1  ,11,"Malls & Shopping Centers","MultiSelect",239
241,true,true,false,false,false,false,2  ,11,"Discount Stores","MultiSelect",239
242,true,true,false,false,false,false,3  ,11,"Boutiques","MultiSelect",239
243,true,true,false,false,false,false,4  ,11,"Vintage and Resale","MultiSelect",239
244,true,true,false,false,false,false,5  ,11,"all of the above","MultiSelect",239
